,Country,Happiness Rank,Happiness Score,Family,Freedom,Generosity,GDP,LE,Trust,Year
133,Gabon,134.0,4.121,0.72368,0.28098,0.06244,1.15851,0.3494,0.09314,2016
134,Mali,135.0,4.073,0.86333,0.27544,0.21064,0.31292,0.16347,0.13647,2016
135,Haiti,136.0,4.028,0.29561,0.12072,0.47958,0.34097,0.27494,0.14476,2016
136,Botswana,137.0,3.974,0.89186,0.44089,0.12425,1.09426,0.34752,0.10769,2016
137,Comoros,138.0,3.956,0.60323,0.15412,0.1827,0.27509,0.29981,0.18437,2016
138,Ivory Coast,139.0,3.916,0.57576,0.40663,0.20338,0.55507,0.04476,0.1553,2016
139,Cambodia,140.0,3.907,0.5375,0.58852,0.40339,0.55604,0.42494,0.08092,2016
140,Angola,141.0,3.866,0.66366,0.00589,0.12071,0.84731,0.04991,0.08434,2016
141,Niger,142.0,3.856,0.6053,0.38041,0.2097,0.1327,0.26162,0.17176,2016
142,South Sudan,143.0,3.832,0.18519,0.19662,0.25899,0.39394,0.15781,0.13015,2016
143,Chad,144.0,3.763,0.63178,0.12807,0.18667,0.42214,0.03824,0.04952,2016
144,Burkina Faso,145.0,3.739,0.63054,0.3337,0.24353,0.31995,0.21297,0.12533,2016
145,Uganda,145.0,3.739,0.90981,0.43653,0.27102,0.34719,0.19625,0.06442,2016
146,Yemen,147.0,3.724,0.47493,0.2287,0.09821,0.57939,0.31048,0.05892,2016
147,Madagascar,148.0,3.695,0.46115,0.13684,0.2204,0.27954,0.37109,0.07506,2016
148,Tanzania,149.0,3.666,0.77623,0.3176,0.31472,0.47155,0.357,0.05099,2016
149,Liberia,150.0,3.622,0.50353,0.25748,0.24063,0.10706,0.23165,0.04852,2016
150,Guinea,151.0,3.607,0.3109,0.30953,0.29914,0.22415,0.18829,0.1192,2016
151,Rwanda,152.0,3.515,0.61586,0.5432,0.23552,0.32846,0.31865,0.50521,2016
152,Benin,153.0,3.484,0.10419,0.39747,0.2018,0.39499,0.21028,0.06681,2016
153,Afghanistan,154.0,3.36,0.11037,0.1643,0.31268,0.38227,0.17344,0.07112,2016
154,Togo,155.0,3.303,0.0,0.34678,0.17517,0.28123,0.24811,0.11587,2016
155,Syria,156.0,3.069,0.14866,0.06912,0.48397,0.74719,0.62994,0.17233,2016
156,Burundi,157.0,2.905,0.23442,0.0432,0.2029,0.06831,0.15747,0.09419,2016
0,Norway,1.0,7.53700017929077,1.53352355957031,0.635422587394714,0.36201223731041,1.61646318435669,0.796666502952576,0.315963834524155,2017
1,Denmark,2.0,7.52199983596802,1.55112159252167,0.626006722450256,0.355280488729477,1.48238301277161,0.792565524578094,0.40077006816864,2017
2,Iceland,3.0,7.50400018692017,1.6105740070343,0.627162635326385,0.475540220737457,1.480633020401,0.833552122116089,0.153526559472084,2017
3,Switzerland,4.0,7.49399995803833,1.51691174507141,0.620070576667786,0.290549278259277,1.56497955322266,0.858131289482117,0.367007285356522,2017
4,Finland,5.0,7.4689998626709,1.5402467250824,0.617950856685638,0.24548277258873,1.44357192516327,0.80915766954422,0.38261154294014,2017
5,Netherlands,6.0,7.3769998550415,1.42893922328949,0.585384488105774,0.470489829778671,1.50394463539124,0.810696125030518,0.282661825418472,2017
6,Canada,7.0,7.31599998474121,1.48134899139404,0.611100912094116,0.435539722442627,1.47920441627502,0.83455765247345,0.287371516227722,2017
7,New Zealand,8.0,7.31400012969971,1.54819512367249,0.614062130451202,0.500005125999451,1.40570604801178,0.816759705543518,0.382816702127457,2017
8,Sweden,9.0,7.28399991989136,1.47816216945648,0.612924098968506,0.385399252176285,1.49438726902008,0.830875158309937,0.384398728609085,2017
9,Australia,10.0,7.28399991989136,1.51004195213318,0.601607382297516,0.477699249982834,1.484414935112,0.84388679265976,0.301183730363846,2017
10,Israel,11.0,7.21299982070923,1.37628996372223,0.405988603830338,0.330082654953003,1.37538242340088,0.83840399980545,0.0852421000599861,2017
11,Costa Rica,12.0,7.0789999961853,1.41640365123749,0.580131649971008,0.214613229036331,1.10970628261566,0.759509265422821,0.100106589496136,2017
12,Austria,13.0,7.00600004196167,1.4599449634552,0.567766189575195,0.316472321748734,1.48709726333618,0.815328419208527,0.221060365438461,2017
13,United States,14.0,6.99300003051758,1.41992056369781,0.505740523338318,0.392578780651093,1.54625928401947,0.77428662776947,0.135638788342476,2017
14,Ireland,15.0,6.97700023651123,1.55823111534119,0.573110342025757,0.42785832285881,1.53570663928986,0.80978262424469,0.29838815331459,2017
15,Germany,16.0,6.95100021362305,1.47252035140991,0.562511384487152,0.336269170045853,1.48792338371277,0.798950731754303,0.276731938123703,2017
16,Belgium,17.0,6.89099979400635,1.46231269836426,0.539770722389221,0.231503337621689,1.46378076076508,0.818091869354248,0.251343131065369,2017
17,Luxembourg,18.0,6.86299991607666,1.45758366584778,0.59662789106369,0.283180981874466,1.74194359779358,0.845089495182037,0.31883442401886,2017
18,United Kingdom,19.0,6.71400022506714,1.49646008014679,0.508190035820007,0.492774158716202,1.44163393974304,0.805335938930511,0.265428066253662,2017
19,Chile,20.0,6.65199995040894,1.28402495384216,0.376895278692245,0.326662421226501,1.25278460979462,0.819479703903198,0.0822879821062088,2017
20,United Arab Emirates,21.0,6.64799976348877,1.26641023159027,0.60834527015686,0.3609419465065,1.62634336948395,0.726798236370087,0.324489563703537,2017
21,Brazil,22.0,6.63500022888184,1.43130600452423,0.437453746795654,0.16234989464283,1.10735321044922,0.616552352905273,0.111092761158943,2017
22,Czech Republic,23.0,6.60900020599365,1.43388521671295,0.490946173667908,0.0881067588925362,1.35268235206604,0.754444003105164,0.0368729270994663,2017
23,Argentina,24.0,6.59899997711182,1.44045114517212,0.494519203901291,0.109457060694695,1.18529546260834,0.695137083530426,0.059739887714386,2017
24,Mexico,25.0,6.57800006866455,1.210862159729,0.412730008363724,0.120990432798862,1.15318381786346,0.709978997707367,0.132774114608765,2017
25,Singapore,26.0,6.57200002670288,1.35381436347961,0.549840569496155,0.345965981483459,1.69227766990662,0.949492394924164,0.46430778503418,2017
26,Malta,27.0,6.52699995040894,1.48841166496277,0.588767051696777,0.574730575084686,1.34327983856201,0.821944236755371,0.153066068887711,2017
27,Uruguay,28.0,6.4539999961853,1.41222786903381,0.57939225435257,0.175096929073334,1.21755969524384,0.719216823577881,0.178061872720718,2017
28,Guatemala,29.0,6.4539999961853,1.25558519363403,0.531310617923737,0.283488392829895,0.872001945972443,0.540239989757538,0.0772232785820961,2017
29,Panama,30.0,6.4520001411438,1.37319254875183,0.550026834011078,0.21055693924427,1.23374843597412,0.706156134605408,0.070983923971653,2017
30,France,31.0,6.44199991226196,1.38777685165405,0.470222115516663,0.129762306809425,1.43092346191406,0.844465851783752,0.172502428293228,2017
31,Thailand,32.0,6.42399978637695,1.42579245567322,0.580200731754303,0.572123110294342,1.12786877155304,0.647239029407501,0.0316127352416515,2017
32,Taiwan Province of China,33.0,6.42199993133545,1.38456535339355,0.361466586589813,0.258360475301743,1.43362653255463,0.793984234333038,0.0638292357325554,2017
33,Spain,34.0,6.40299987792969,1.53209090232849,0.408781230449677,0.190133571624756,1.38439786434174,0.888960599899292,0.0709140971302986,2017
34,Qatar,35.0,6.375,1.27429687976837,0.604130983352661,0.330473870038986,1.87076568603516,0.710098087787628,0.439299255609512,2017
35,Colombia,36.0,6.35699987411499,1.4021829366684,0.477487415075302,0.149014472961426,1.07062232494354,0.595027923583984,0.0466687418520451,2017
36,Saudi Arabia,37.0,6.3439998626709,1.28667759895325,0.449750572443008,0.147616013884544,1.53062355518341,0.590148329734802,0.27343225479126,2017
37,Trinidad and Tobago,38.0,6.16800022125244,1.3802285194397,0.518630743026733,0.325296461582184,1.36135590076447,0.519983291625977,0.0089648161083459,2017
38,Kuwait,39.0,6.10500001907349,1.25969874858856,0.496337592601776,0.228289797902107,1.63295245170593,0.632105708122253,0.215159550309181,2017
39,Slovakia,40.0,6.09800004959106,1.50505924224854,0.295817464590073,0.136544480919838,1.32539355754852,0.712732911109924,0.0242108516395092,2017
40,Bahrain,41.0,6.08699989318848,1.32311046123505,0.536746919155121,0.172668486833572,1.48841226100922,0.653133034706116,0.257042169570923,2017
41,Malaysia,42.0,6.08400011062622,1.28464603424072,0.402264982461929,0.416608929634094,1.29121541976929,0.618784427642822,0.0656007081270218,2017
42,Nicaragua,43.0,6.07100009918213,1.28721570968628,0.447551846504211,0.301674216985703,0.737299203872681,0.653095960617065,0.130687981843948,2017
43,Ecuador,44.0,6.00799989700317,1.28616881370544,0.4551981985569,0.150112465023994,1.00082039833069,0.685636222362518,0.140134647488594,2017
44,El Salvador,45.0,6.00299978256226,1.18212509155273,0.432452529668808,0.0782579854130745,0.909784495830536,0.596018552780151,0.0899809598922729,2017
45,Poland,46.0,5.97300004959106,1.44571197032928,0.520342111587524,0.158465966582298,1.29178786277771,0.699475347995758,0.0593078061938286,2017
46,Uzbekistan,47.0,5.97100019454956,1.54896914958954,0.658248662948608,0.415983647108078,0.786441087722778,0.498272627592087,0.246528223156929,2017
47,Italy,48.0,5.96400022506714,1.44492328166962,0.256450712680817,0.17278964817524,1.39506661891937,0.853144347667694,0.0280280914157629,2017
48,Russia,49.0,5.96299982070923,1.46928238868713,0.373783111572266,0.0522638224065304,1.28177809715271,0.547349333763123,0.0329628810286522,2017
49,Belize,50.0,5.95599985122681,1.08141779899597,0.547509372234344,0.240015640854836,0.907975316047668,0.450191766023636,0.0965810716152191,2017
50,Japan,51.0,5.92000007629395,1.43633782863617,0.505625545978546,0.12057276815176,1.41691517829895,0.913475871086121,0.163760736584663,2017
51,Lithuania,52.0,5.90199995040894,1.47351610660553,0.234231784939766,0.010164656676352,1.31458234786987,0.62894994020462,0.0118656428530812,2017
52,Algeria,53.0,5.87200021743774,1.1462174654007,0.233335807919502,0.0694366469979286,1.09186446666718,0.617584645748138,0.146096110343933,2017
53,Latvia,54.0,5.84999990463257,1.40471494197845,0.325707912445068,0.153074786067009,1.26074862480164,0.638566970825195,0.0738427266478539,2017
54,South Korea,55.0,5.83799982070923,1.12827444076538,0.257921665906906,0.206674367189407,1.40167844295502,0.900214076042175,0.0632826685905457,2017
55,Moldova,56.0,5.83799982070923,1.25182557106018,0.240729048848152,0.208779126405716,0.728870630264282,0.589465200901031,0.0100912861526012,2017
56,Romania,57.0,5.82499980926514,1.15009129047394,0.457003742456436,0.133519917726517,1.21768391132355,0.685158312320709,0.00438790069893,2017
57,Bolivia,58.0,5.82299995422363,1.22761905193329,0.558732926845551,0.22556072473526,0.833756566047668,0.473630249500275,0.0604777261614799,2017
58,Turkmenistan,59.0,5.82200002670288,1.49314916133881,0.41827192902565,0.24992498755455,1.13077676296234,0.437726080417633,0.259270340204239,2017
59,Kazakhstan,60.0,5.81899976730347,1.38436901569366,0.437454283237457,0.201964423060417,1.28455626964569,0.606041550636292,0.119282886385918,2017
60,North Cyprus,61.0,5.80999994277954,1.18630337715149,0.471203625202179,0.266845703125,1.3469113111496,0.834647238254547,0.155353352427483,2017
61,Slovenia,62.0,5.75799989700317,1.45251882076263,0.572575807571411,0.242649093270302,1.3412059545517,0.790828227996826,0.0451289787888527,2017
62,Peru,63.0,5.71500015258789,1.21877038478851,0.450002878904343,0.126819714903831,1.03522527217865,0.630166113376617,0.0470490865409374,2017
63,Mauritius,64.0,5.62900018692017,1.20956099033356,0.491247326135635,0.360933750867844,1.18939554691315,0.638007462024689,0.0421815551817417,2017
64,Cyprus,65.0,5.62099981307983,1.13136327266693,0.355111539363861,0.271254301071167,1.35593807697296,0.84471470117569,0.0412379764020443,2017
65,Estonia,66.0,5.61100006103516,1.47667109966278,0.479131430387497,0.0988908112049103,1.32087934017181,0.695168316364288,0.183248922228813,2017
66,Belarus,67.0,5.56899976730347,1.44494521617889,0.295400261878967,0.15513750910759,1.15655755996704,0.637714266777039,0.156313821673393,2017
67,Libya,68.0,5.52500009536743,1.35756433010101,0.465733230113983,0.152073666453362,1.10180306434631,0.520169019699097,0.0926102101802826,2017
68,Turkey,69.0,5.5,1.33775317668915,0.300740599632263,0.0466930419206619,1.19827437400818,0.637605607509613,0.0996715798974037,2017
69,Paraguay,70.0,5.49300003051758,1.50728487968445,0.473507791757584,0.224150657653809,0.932537317276001,0.579250693321228,0.091065913438797,2017
70,"Hong Kong S.A.R., China",71.0,5.47200012207031,1.26279091835022,0.490968644618988,0.374465793371201,1.55167484283447,0.943062424659729,0.293933749198914,2017
71,Philippines,72.0,5.42999982833862,1.25391757488251,0.585214674472809,0.193513423204422,0.85769921541214,0.468009054660797,0.0993318930268288,2017
72,Serbia,73.0,5.39499998092651,1.25818979740143,0.208715528249741,0.220125883817673,1.06931757926941,0.65078467130661,0.0409037806093693,2017
73,Jordan,74.0,5.33599996566772,1.23908889293671,0.418421149253845,0.172170460224152,0.991012394428253,0.604590058326721,0.11980327218771,2017
74,Hungary,75.0,5.32399988174438,1.34313309192657,0.175863519310951,0.0784016624093056,1.2860119342804,0.687763452529907,0.0366369374096394,2017
75,Jamaica,76.0,5.31099987030029,1.36821806430817,0.474307239055634,0.233818337321281,0.925579309463501,0.641022384166718,0.0552677810192108,2017
76,Croatia,77.0,5.29300022125244,0.96798300743103,0.255772292613983,0.248002976179123,1.22255623340607,0.701288521289825,0.0431031100451946,2017
77,Kosovo,78.0,5.27899980545044,1.13785350322723,0.260287940502167,0.319931447505951,0.951484382152557,0.541452050209045,0.0574716180562973,2017
78,China,79.0,5.27299976348877,1.16083741188049,0.472787708044052,0.0288068410009146,1.08116579055786,0.741415500640869,0.0227942746132612,2017
79,Pakistan,80.0,5.26900005340576,0.672690689563751,0.23521526157856,0.315446019172668,0.72688353061676,0.402047783136368,0.124348066747189,2017
80,Indonesia,81.0,5.26200008392334,1.27444469928741,0.443323463201523,0.611704587936401,0.995538592338562,0.492345720529556,0.0153171354904771,2017
81,Venezuela,82.0,5.25,1.43133759498596,0.153997123241425,0.0650196298956871,1.12843120098114,0.617144227027893,0.0644911229610443,2017
82,Montenegro,83.0,5.23699998855591,1.23837649822235,0.194989055395126,0.197911024093628,1.12112903594971,0.667464673519135,0.0881741940975189,2017
83,Morocco,84.0,5.2350001335144,0.774864435195923,0.408158332109451,0.0322099551558495,0.878114581108093,0.59771066904068,0.0877631828188896,2017
84,Azerbaijan,85.0,5.23400020599365,1.15240025520325,0.398155838251114,0.0452693402767181,1.15360176563263,0.540775775909424,0.180987507104874,2017
85,Dominican Republic,86.0,5.23000001907349,1.40241670608521,0.55258983373642,0.186967849731445,1.07937383651733,0.574873745441437,0.113945253193378,2017
86,Greece,87.0,5.22700023651123,1.23941457271576,0.0957312509417534,0.0,1.28948748111725,0.810198903083801,0.04328977689147,2017
87,Lebanon,88.0,5.22499990463257,1.12962424755096,0.288515985012054,0.264450758695602,1.07498753070831,0.735081076622009,0.037513829767704,2017
88,Portugal,89.0,5.19500017166138,1.36704301834106,0.498465299606323,0.0951027125120163,1.3151752948761,0.795843541622162,0.0158694516867399,2017
89,Bosnia and Herzegovina,90.0,5.18200016021729,1.0693359375,0.204403176903725,0.328867495059967,0.982409417629242,0.705186307430267,0.0,2017
90,Honduras,91.0,5.18100023269653,1.14394497871399,0.348079860210419,0.236188873648643,0.730573117733002,0.582569479942322,0.0733454525470734,2017
91,Macedonia,92.0,5.17500019073486,1.20789301395416,0.325905978679657,0.25376096367836,1.06457793712616,0.644948184490204,0.0602777935564518,2017
92,Somalia,93.0,5.15100002288818,0.721151351928711,0.602126955986023,0.291631311178207,0.0226431842893362,0.113989137113094,0.282410323619843,2017
93,Vietnam,94.0,5.07399988174438,1.27749133110046,0.571055591106415,0.234968051314354,0.788547575473785,0.652168989181519,0.0876332372426987,2017
94,Nigeria,95.0,5.07399988174438,1.21577048301697,0.394952565431595,0.230947196483612,0.783756256103516,0.0569157302379608,0.0261215660721064,2017
95,Tajikistan,96.0,5.04099988937378,1.27146327495575,0.471566706895828,0.248997643589973,0.524713635444641,0.529235124588013,0.146377146244049,2017
96,Bhutan,97.0,5.01100015640259,1.34012651443481,0.501537680625916,0.474054545164108,0.885416388511658,0.495879292488098,0.173380389809608,2017
97,Kyrgyzstan,98.0,5.00400018692017,1.39423859119415,0.454943388700485,0.42858037352562,0.596220076084137,0.553457796573639,0.0394391790032387,2017
98,Nepal,99.0,4.96199989318848,1.17928326129913,0.440305948257446,0.394096165895462,0.479820191860199,0.504130780696869,0.0729755461215973,2017
99,Mongolia,100.0,4.95499992370605,1.4930112361908,0.394143968820572,0.338464230298996,1.02723586559296,0.557783484458923,0.0329022891819477,2017
100,South Africa,101.0,4.8289999961853,1.38478863239288,0.479246735572815,0.139362379908562,1.05469870567322,0.187080070376396,0.0725094974040985,2017
101,Tunisia,102.0,4.80499982833862,0.868351459503174,0.289680689573288,0.0496933571994305,1.00726580619812,0.613212049007416,0.0867231488227844,2017
102,Palestinian Territories,103.0,4.77500009536743,1.15564715862274,0.25471106171608,0.114173173904419,0.716249227523804,0.565666973590851,0.0892826020717621,2017
103,Egypt,104.0,4.7350001335144,0.997471392154694,0.282110154628754,0.128631442785263,0.989701807498932,0.520187258720398,0.114381365478039,2017
104,Bulgaria,105.0,4.71400022506714,1.43437945842743,0.289231717586517,0.113177694380283,1.1614590883255,0.708217680454254,0.0110515309497714,2017
105,Sierra Leone,106.0,4.70900011062622,0.984136044979095,0.318697690963745,0.293040901422501,0.36842092871666,0.0055647538974881,0.0710951760411263,2017
106,Cameroon,107.0,4.69500017166138,0.946018218994141,0.430388748645782,0.236298456788063,0.564305365085602,0.132892116904259,0.0513066314160824,2017
107,Iran,108.0,4.69199991226196,0.711551249027252,0.249322608113289,0.387242913246155,1.15687310695648,0.639333188533783,0.048761073499918,2017
108,Albania,109.0,4.64400005340576,0.803685247898102,0.381498634815216,0.201312944293022,0.996192753314972,0.731159746646881,0.0398642159998417,2017
109,Bangladesh,110.0,4.60799980163574,0.735131740570068,0.478356659412384,0.172255352139473,0.586682975292206,0.533241033554077,0.123717859387398,2017
110,Namibia,111.0,4.57399988174438,1.0984708070755,0.520303547382355,0.0771337449550629,0.964434325695038,0.33861181139946,0.0931469723582268,2017
111,Kenya,112.0,4.55299997329712,1.06795072555542,0.452763766050339,0.444860309362411,0.560479462146759,0.309988349676132,0.0646413192152977,2017
112,Mozambique,113.0,4.55000019073486,0.870701014995575,0.480791091918945,0.322228103876114,0.234305649995804,0.106654435396194,0.179436385631561,2017
113,Myanmar,114.0,4.54500007629395,1.12323594093323,0.514492034912109,0.838075160980225,0.367110550403595,0.397522568702698,0.188816204667091,2017
114,Senegal,115.0,4.53499984741211,1.17969191074371,0.377922266721725,0.183468893170357,0.479309022426605,0.409362852573395,0.115460447967052,2017
115,Zambia,116.0,4.51399993896484,1.00318729877472,0.461603492498398,0.249580144882202,0.636406779289246,0.257835894823074,0.0782135501503944,2017
116,Iraq,117.0,4.49700021743774,0.978613197803497,0.288555532693863,0.19963726401329,1.10271048545837,0.501180469989777,0.107215754687786,2017
117,Gabon,118.0,4.46500015258789,1.1556202173233,0.312328577041626,0.0437853783369064,1.1982102394104,0.356578588485718,0.0760467872023582,2017
118,Ethiopia,119.0,4.46000003814697,0.86466920375824,0.408842742443085,0.312650740146637,0.339233845472336,0.353409707546234,0.165455713868141,2017
119,Sri Lanka,120.0,4.44000005722046,1.25997638702393,0.561213254928589,0.490863561630249,1.00985014438629,0.625130832195282,0.0736539661884308,2017
120,Armenia,121.0,4.37599992752075,1.00748372077942,0.198303267359734,0.0834880918264389,0.900596737861633,0.637524425983429,0.0266744215041399,2017
121,India,122.0,4.31500005722046,0.754372596740723,0.469987004995346,0.231538489460945,0.792221248149872,0.455427616834641,0.0922268852591515,2017
122,Mauritania,123.0,4.29199981689453,1.2720308303833,0.0960980430245399,0.201870024204254,0.648457288742065,0.285349279642105,0.136957004666328,2017
123,Congo (Brazzaville),124.0,4.29099988937378,0.832044363021851,0.435025870800018,0.120852127671242,0.808964252471924,0.28995743393898,0.0796181336045265,2017
124,Georgia,125.0,4.28599977493286,0.57061493396759,0.309410035610199,0.0540088154375553,0.950612664222717,0.649546980857849,0.251666635274887,2017
125,Congo (Kinshasa),126.0,4.28000020980835,1.22902345657349,0.235961347818375,0.246455833315849,0.0921023488044739,0.191407024860382,0.0602413564920425,2017
126,Mali,127.0,4.19000005722046,1.28147339820862,0.306613743305206,0.183354198932648,0.476180493831635,0.169365674257278,0.104970246553421,2017
127,Ivory Coast,128.0,4.17999982833862,0.904780030250549,0.447706192731857,0.201237469911575,0.603048920631409,0.0486421696841717,0.130061775445938,2017
128,Cambodia,129.0,4.16800022125244,1.00623834133148,0.633375823497772,0.385922968387604,0.601765096187592,0.429783403873444,0.0681059509515762,2017
129,Sudan,130.0,4.13899993896484,1.21400856971741,0.0149958552792668,0.182317450642586,0.65951669216156,0.290920823812485,0.089847519993782,2017
130,Ghana,131.0,4.11999988555908,0.873664736747742,0.423026293516159,0.256923943758011,0.667224824428558,0.295637726783752,0.0253363698720932,2017
131,Ukraine,132.0,4.09600019454956,1.39453756809235,0.122974775731564,0.270061463117599,0.89465194940567,0.575903952121735,0.0230294708162546,2017
132,Uganda,133.0,4.08099985122681,1.12982773780823,0.443185955286026,0.325766056776047,0.381430715322495,0.217632606625557,0.057069718837738,2017
133,Burkina Faso,134.0,4.03200006484985,1.04328000545502,0.324367851018906,0.250864684581757,0.3502277135849,0.215844258666039,0.120328105986118,2017
134,Niger,135.0,4.02799987792969,0.993025004863739,0.36365869641304,0.228673845529556,0.161925330758095,0.26850500702858,0.138572946190834,2017
135,Malawi,136.0,3.97000002861023,0.512568831443787,0.466914653778076,0.287170469760895,0.233442038297653,0.315089583396912,0.0727116540074348,2017
136,Chad,137.0,3.93600010871887,0.953855872154236,0.16234202682972,0.216113850474358,0.438012987375259,0.0411347150802612,0.0535818822681904,2017
137,Zimbabwe,138.0,3.875,1.08309590816498,0.336384207010269,0.189143493771553,0.375846534967422,0.196763753890991,0.0953753814101219,2017
138,Lesotho,139.0,3.80800008773804,1.19009518623352,0.390661299228668,0.157497271895409,0.521021246910095,0.0,0.119094640016556,2017
